Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode																																													
"anorthite = Si : 20.61%, Ti : 0.01%, Al : 18.77%, Fe : 0.36%, Mg : 0.05%, Ca : 13.90%, Na : 0.30%, P  : 0.01%, Ba : 0.01%, Sr : 0.03%, O  : 45.98%"																																																									
Calibration file name (Element intensity cps/nA) : 																																																									
Mg : Other\OlivSanCarl_15kV_MgKa-Sp2-LTAP_022.calDat (Mg : 838.8 cps/nA)																																																									
Si : Other\kspar_15kV_AlKa-Sp2-LTAP_SiKa-Sp4-TAP_KKa-Sp3-LPET_005.calDat (Si : 598.1 cps/nA)																																																									
Fe : Other\RKFAYb7_15kV_FeKa-Sp5-LLIF_071.calDat (Fe : 312.8 cps/nA)																																																									
"Al ,Al : Other\kspar_15kV_AlKa-Sp2-LTAP_001.calDat (Al : 390.8 cps/nA, Al : 390.8 cps/nA)"																																																									
"P  ,P  : Other\AlPO4_15kV_PKa-Sp1-PET_009.calDat (P  : 61.8 cps/nA, P  : 61.8 cps/nA)"																																																									
"Mn ,Mn : Other\Rhodon 41522 AMNH_15kV_MnKa-Sp5-LLIF_035.calDat (Mn : 190.8 cps/nA, Mn : 190.8 cps/nA)"																																																									
"Ni ,Ni : Other\diop_ni_15kV_NiKa-Sp5-LLIF_051.calDat (Ni : 24.8 cps/nA, Ni : 24.8 cps/nA)"																																																									
"Ti ,Ti : Other\TiO2_15kV_TiKa-Sp3-LPET_041.calDat (Ti : 1164.4 cps/nA, Ti : 1164.4 cps/nA)"																																																									
"Ca ,Ca : Other\anorthite_15kV_CaKa-Sp1-PET_016.calDat (Ca : 73.8 cps/nA, Ca : 73.8 cps/nA)"																																																									
Beam Size : 1 ?m																																																									
																																																									
	Weight%	Atomic%	Oxide																																																						
																																																									
DataSet/Point	Mg	Si	Fe	O 	Al	P 	Mn	Ni	Ti	Ca	Na	K 	Cr	S 	Cl	Total	Mg	Si	Fe	O 	Al	P 	Mn	Ni	Ti	Ca	Na	K 	Cr	S 	Cl	Total	MgO	SiO2	FeO	Al2O3	P2O5	MnO	NiO	TiO2	CaO	Na2O	K2O	Cr2O3	SO2	Cl	Total	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
1 / 1 . 	29.9663	19.25053	7.616875	44.00869	0.016013	0.00001	0.115092	0.301892	0.00491	0.08229						101.3626	25.60447	14.23439	2.832405	57.12134	0.012325	0.000007	0.043506	0.106787	0.002129	0.042638						99.99998	49.69305	41.18409	9.79908	0.030256	0.000023	0.148611	0.384165	0.008191	0.11514						101.3626	6919	31349	45	 	 	San_carlos_	0	11.92504	1	"Friday, February 11, 2022 4:24:32 AM"
2 / 1 . 				0.154629	0.017243	0.00001	0.098453	0.287923	0.004391	0.073162						0.63581				51.08815	3.378186	0.001707	9.473297	25.92454	0.484638	9.649488						100				0.03258	0.000023	0.127126	0.366389	0.007325	0.102368						0.63581	6919	31349	45	 	 	San_carlos_	0	0.135443	2	"Friday, February 11, 2022 4:25:37 AM"
