FileName :  HTSS_WDSMajor_Olivine_profiles_Sarah_redux.qtiDat
Signal(s) Used : Mg Ka, Si Ka, Fe Ka, Al Ka, P  Ka, Ca Ka, Ti Ka, Cr Ka, Mn Ka, Ni Ka
Spectrometers Conditions :  Sp2 LTAP,  Sp4 TAP,  Sp5 LLIF,  Sp2 LTAP,  Sp3 LPET,  Sp1 PET,  Sp3 LPET,  Sp1 PET,  Sp5 LLIF,  Sp5 LLIF
Full Spectrometers Conditions :  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp2 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp1 PET(2d= 8.75,K= 0.000144),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05),  Sp5 LLIF(2d= 4.0267,K= 5.8E-05)
Column Conditions : Cond 1 : 15keV 10nA , Cond 2 : 15keV 300nA 
	, Cond 1 : Mg Ka, Si Ka, Fe Ka
	, Cond 2 : Al Ka, P  Ka, Ca Ka, Ti Ka, Cr Ka, Mn Ka, Ni Ka
Date : Feb-04-2021
User Name : SX978-PC\SX
Setup Name : D:\sxpc\Analysis Setups\Quanti\HTSC_013021_olivine.qtiSet
DataSet Comment : San_Carlos_EDS_37
Comment :  
Analysis Date : Wednesday, February 3, 2021 10:38:12 AM
Project Name : Default Project
Sample Name : Default Sample
Analysis Parameters : 	
Sp	Elements	Xtal	Position	Bg1	Bg2	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	
Sp2	Mg Ka		LTAP	38517	-1150	1150	   	1312	3055	3	560	 	Inte
Sp4	Si Ka		TAP	27740	   	750	1.1	1322	3091	3	560	 	Inte
Sp5	Fe Ka		LLIF	48081	   	950	1.1	1828	433	3	560	 	Inte
Sp2	Al Ka		LTAP	32477	   	800	1.2	1314	3055	3	560	 	Inte
Sp3	P  Ka		LPET	70319	-500	500	   	1846	974	3	560	 	Inte
Sp1	Ca Ka		PET	38388	   	700	1.1	1307	1026	3	560	 	Inte
Sp3	Ti Ka		LPET	31401	   	650	1.05	1856	1060	3	560	 	Inte
Sp1	Cr Ka		PET	26156	-500	500	   	1306	1033	3	560	 	Inte
Sp5	Mn Ka		LLIF	52191	-550	550	   	1831	436	3	560	 	Inte
Sp5	Ni Ka		LLIF	41173	-550	550	   	1828	418	3	560	 	Inte
Peak Position :  Sp2 38517 (-1150, 1150),  Sp4 27740 (750, Slope = 1.1),  Sp5 48081 (950, Slope = 1.1),  Sp2 32477 (800, Slope = 1.2),  Sp3 70319 (-500, 500),  Sp1 38388 (700, Slope = 1.1),  Sp3 31401 (650, Slope = 1.05),  Sp1 26156 (-500, 500),  Sp5 52191 (-550, 550),  Sp5 41173 (-550, 550)
Current Sample Position :  X = -6404 Y = 32966 Z = -485 BeamX = 0.00 BeamX = 0.00
Standard Name : 
Mg ,Si On SCOliv
Fe On FayalB6
Al ,Ca On anorthite
P  On Apatite
Ti On RUTILE_6
Cr On MgCr2O4
Mn On Rhodonite
Ni On diop_ni
Standard composition : 
SCOliv = Si : 19.08%, Fe : 7.42%, Mn : 0.11%, Mg : 29.80%, Ni : 0.29%, Ca : 0.02%, O  : 43.28%
FayalB6 = O  : 31.78%, Si : 13.66%, Ti : 0.02%, Mn : 1.66%, Fe : 52.51%, Zn : 0.38%
anorthite = Si : 20.61%, Ti : 0.01%, Al : 18.77%, Fe : 0.36%, Mg : 0.05%, Ca : 13.90%, Na : 0.30%, P  : 0.01%, Ba : 0.01%, Sr : 0.03%, O  : 45.98%
Apatite = Si : 0.12%, Al : 0.01%, Fe : 0.05%, Ca : 39.27%, Na : 0.18%, P  : 17.77%, F  : 3.40%, Sr : 0.39%, S  : 0.24%, O  : 39.27%
RUTILE_6 = Ti : 59.95%, O  : 40.05%
MgCr2O4 = Mg : 12.64%, Cr : 54.08%, O  : 33.28%
Rhodonite = Si : 21.98%, Fe : 1.80%, Ca : 1.06%, Mg : 2.36%, Mn : 35.01%, O  : 37.73%
diop_ni = Si : 24.91%, Al : 0.45%, Fe : 0.12%, Mg : 8.62%, Ca : 17.87%, Ni : 5.06%, O  : 43.01%
Calibration file name (Element intensity cps/nA) : 
Mg ,Si : Other\SCOliv_15kV_MgKa-Sp2-LTAP_SiKa-Sp4-TAP_004.calDat (Mg : 884.9 cps/nA, Si : 359.3 cps/nA)
Fe : Other\FayalB6_15kV_FeKa-Sp5-LLIF_011.calDat (Fe : 320.3 cps/nA)
Al ,Ca : Other\anorthite_15kV_AlKa-Sp2-LTAP_CaKa-Sp1-PET_002.calDat (Al : 777.3 cps/nA, Ca : 73.8 cps/nA)
P  : Other\Apatite_15kV_PKa-Sp3-LPET_003.calDat (P  : 111.5 cps/nA)
Ti : Other\RUTILE_6_15kV_TiKa-Sp3-LPET_016.calDat (Ti : 1578.1 cps/nA)
Cr : Other\MgCr2O4_15kV_CrKa-Sp1-PET_004.calDat (Cr : 247.6 cps/nA)
Mn : Other\Rhodonite_15kV_MnKa-Sp5-LLIF_015.calDat (Mn : 194.3 cps/nA)
Ni : Other\diop_ni_15kV_NiKa-Sp5-LLIF_016.calDat (Ni : 25.5 cps/nA)
Beam Size : 0, 0 ?m

	Weight%	Atomic%	Oxide	Det.Lim ppm(A)	StdDev wt%	

DataSet/Point	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	Total	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	Total	MgO	SiO2	FeO	Al2O3	P2O5	CaO	TiO2	Cr2O3	MnO	NiO	Total	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	Mg	Si	Fe	Al	P 	Ca	Ti	Cr	Mn	Ni	O 	 X 	 Y 	 Z 	 Beam X 	 Beam Y 	Comment	Distance (?)	Mean Z	Point#	Date
3 / 3 . 	21.434890	17.894020	20.039120	0.002899	0.002408	0.099027	0.008871	0.001020	0.364037	0.010887	40.400260	100.257400	19.986420	14.438940	8.131829	0.002435	0.001762	0.055993	0.004197	0.000445	0.150170	0.004203	57.223610	99.999990	35.545440	38.282000	25.780250	0.005478	0.005517	0.138559	0.014797	0.001492	0.470058	0.013855	100.257400	247	347	1105	18	36	86	41	110	82	95		0.276362	0.258665	0.644761	0.001516	0.003051	0.008238	0.003428	0.009167	0.011057	0.008036		11305.7	2370.3	-630.0	 	 	AC4_EUH96_recon	4085.81	13.636340	11	Sunday, January 31, 2021 1:05:53 PM	
3 / 4 . 	21.518960	17.767980	19.589340	0.004084	0.002930	0.093488	0.010191	0.000010	0.348681	0.012022	40.178900	99.526580	20.171080	14.413170	7.991412	0.003448	0.002155	0.053141	0.004847	0.000004	0.144597	0.004665	57.211490	100.000000	35.684850	38.012350	25.201610	0.007716	0.006713	0.130808	0.017000	0.000015	0.450229	0.015298	99.526580	249	355	1116	18	35	86	41		83	96		0.277090	0.257526	0.633313	0.001516	0.003005	0.008211	0.003423	-0.000022	0.010930	0.008083		11302.0	2395.0	-630.0	 	 	AC4_EUH96_recon	4087.76	13.489780	12	Sunday, January 31, 2021 1:11:04 PM	
4 / 1 . 	20.325420	17.140580	21.805970	0.526616	0.018045	0.343225	0.026232	0.002920	0.477840	0.004252	39.944970	100.616100	19.129360	13.960460	8.931655	0.446461	0.013327	0.195888	0.012527	0.001285	0.198960	0.001657	57.108420	100.000000	33.705610	36.670100	28.053290	0.995038	0.041349	0.480241	0.043756	0.004268	0.617004	0.005411	100.616100	251	335	1185	20	37	86	42	111	84	98		0.266259	0.251153	0.691252	0.004217	0.003511	0.011093	0.003578	0.009229	0.012279	0.008174		13683.0	3905.0	-590.0	 	 	AC4_EUH97_recon	6813.19	13.970810	13	Sunday, January 31, 2021 1:16:12 PM	
4 / 2 . 	21.939490	17.468890	20.050610	0.003441	0.005342	0.111648	0.011102	0.000010	0.386820	0.009453	40.267920	100.254700	20.464320	14.100980	8.139431	0.002891	0.003910	0.063152	0.005255	0.000004	0.159625	0.003650	57.056780	100.000000	36.382220	37.372470	25.795020	0.006502	0.012240	0.156217	0.018519	0.000015	0.499476	0.012029	100.254700	259	350	1105	19	37	85	41		84	96		0.281451	0.254599	0.645025	0.001555	0.003171	0.008313	0.003470	-0.000017	0.011343	0.008095		13687.7	3877.7	-590.0	 	 	AC4_EUH97_recon	6807.82	13.638350	14	Sunday, January 31, 2021 1:21:19 PM	
4 / 3 . 	21.930780	17.605000	20.140570	0.003228	0.006168	0.106090	0.010011	0.003907	0.380739	0.016204	40.442840	100.645500	20.377810	14.156400	8.144622	0.002702	0.004497	0.059779	0.004720	0.001697	0.156514	0.006233	57.085030	100.000000	36.367780	37.663670	25.910760	0.006100	0.014134	0.148442	0.016698	0.005710	0.491624	0.020620	100.645500	254	354	1048	19	37	87	41	111	83	96		0.281108	0.255707	0.646283	0.001551	0.003188	0.008423	0.003462	0.009230	0.011268	0.008150		13692.3	3850.3	-590.0	 	 	AC4_EUH97_recon	6802.56	13.693790	15	Sunday, January 31, 2021 1:26:27 PM	
4 / 4 . 	21.892160	17.459740	20.229990	0.003201	0.002502	0.104290	0.010533	0.000010	0.378174	0.011468	40.268560	100.360600	20.417580	14.091810	8.211209	0.002689	0.001831	0.058983	0.004984	0.000004	0.156038	0.004428	57.050440	99.999990	36.303730	37.352900	26.025800	0.006047	0.005732	0.145923	0.017569	0.000015	0.488312	0.014593	100.360600	251	345	1115	19	36	86	41		82	96		0.280990	0.254453	0.649751	0.001551	0.003055	0.008295	0.003437	-0.000018	0.011195	0.008089		13697.0	3823.0	-590.0	 	 	AC4_EUH97_recon	6797.41	13.674430	16	Sunday, January 31, 2021 1:31:34 PM	
5 / 1 . 	21.732570	17.491610	19.557200	0.002710	0.012580	0.120251	0.009780	0.000010	0.380623	0.019531	40.028430	99.355300	20.415050	14.219440	7.995428	0.002293	0.009273	0.068501	0.004662	0.000004	0.158182	0.007595	57.119580	100.000000	36.039090	37.421090	25.160260	0.005120	0.028825	0.168255	0.016313	0.000015	0.491474	0.024853	99.355290	268	349	1193	19	35	85	41		83	94		0.287097	0.264242	0.647803	0.001550	0.003264	0.008422	0.003462	-0.001673	0.011272	0.008052		16010.0	2960.0	-558.0	 	 	AC4_EUH98_recon	8816.52	13.472950	17	Sunday, January 31, 2021 1:36:44 PM	
5 / 2 . 	21.888010	17.541710	19.934430	0.002288	0.004974	0.112809	0.012242	0.000010	0.371114	0.011196	40.279350	100.158100	20.421620	14.163460	8.094380	0.001923	0.003641	0.063826	0.005796	0.000004	0.153184	0.004324	57.087840	100.000000	36.296850	37.528270	25.645570	0.004324	0.011397	0.157842	0.020420	0.000015	0.479196	0.014247	100.158100	251	358	1071	19	36	86	41		83	95		0.280779	0.255301	0.641520	0.001553	0.003143	0.008395	0.003440	-0.000032	0.011172	0.008040		16000.7	2986.0	-558.0	 	 	AC4_EUH98_recon	8811.77	13.609920	18	Sunday, January 31, 2021 1:42:00 PM	
5 / 3 . 	21.866040	17.503250	20.029680	0.003251	0.005962	0.101340	0.010078	0.000010	0.374083	0.013429	40.245940	100.153100	20.414210	14.141470	8.138273	0.002734	0.004368	0.057374	0.004774	0.000004	0.154509	0.005190	57.077090	99.999990	36.260430	37.446000	25.768100	0.006142	0.013661	0.141795	0.016811	0.000015	0.483029	0.017089	100.153100	258	350	1092	18	35	88	41		83	95		0.280708	0.254911	0.644325	0.001547	0.003073	0.008432	0.003440	-0.000046	0.011209	0.008062		15991.3	3012.0	-558.0	 	 	AC4_EUH98_recon	8807.10	13.622860	19	Sunday, January 31, 2021 1:47:08 PM	
5 / 4 . 	21.740690	17.422540	20.067950	0.003374	0.003466	0.102705	0.010150	0.002363	0.374481	0.015261	40.081590	99.824560	20.378450	14.132620	8.186469	0.002849	0.002550	0.058379	0.004827	0.001035	0.155293	0.005922	57.071600	99.999980	36.052540	37.273320	25.817340	0.006375	0.007943	0.143704	0.016930	0.003453	0.483543	0.019421	99.824560	262	344	1043	18	36	85	41	110	83	95		0.279388	0.253845	0.644432	0.001550	0.003076	0.008254	0.003424	0.009152	0.011191	0.008058		15982.0	3038.0	-558.0	 	 	AC4_EUH98_recon	8802.51	13.594430	20	Sunday, January 31, 2021 1:52:16 PM	
